일자-No.,구매처명,품목코드,품목명(규격),수량,단가,공급가액,부가세,합계
2025/12/30 -2,나노엔텍,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),110,"1,250,000","137,500,000","13,750,000","151,250,000"
2025/12/30 -2,나노엔텍,EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions),140,"1,250,000","175,000,000","17,500,000","192,500,000"
2025/12/30 -2,나노엔텍,EXT1000S,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction) [set]",10,"8,500,000","85,000,000","8,500,000","93,500,000"
2025/12/30 -1,나노엔텍,EXT10096K(할증),ExTransfection 100 μL Kit (96 × 2 reactions) [kit],2,,,,
2025/12/30 -1,나노엔텍,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions) [kit],20,"1,250,000","25,000,000","2,500,000","27,500,000"
2025/12/30 -1,나노엔텍,EXT1096K(할증),ExTransfection 10 μL Kit (96 × 2 reactions) [kit],2,,,,
2025/12/30 -1,나노엔텍,EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions) [kit],20,"1,250,000","25,000,000","2,500,000","27,500,000"
2025/12/30 -1,나노엔텍,EXT10025K(할증),ExTransfection 100 μL Kit (25 × 2 reactions) [kit],1,,,,
2025/12/30 -1,나노엔텍,EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions) [kit],10,"420,000","4,200,000","420,000","4,620,000"
2025/12/30 -1,나노엔텍,EXT1025K(할증),ExTransfection 10 μL Kit (25 × 2 reactions) [kit],1,,,,
2025/12/30 -1,나노엔텍,EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions) [kit],10,"420,000","4,200,000","420,000","4,620,000"
2025/12/30 -1,나노엔텍,EXT1000S(Demo),"ExTransfection Starter pack (Device,Pipette,Station, 10ul, 100ul tips[96x2reaction) [set]",3,"7,225,000","21,675,000","2,167,500","23,842,500"
2025/12/30 -1,나노엔텍,EXT1000S,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction) [set]",10,"8,500,000","85,000,000","8,500,000","93,500,000"
총합계,,,,339,"30,065,000","562,575,000","56,257,500","618,832,500"
2026/07/01 (수) 오후 3:16:11,,,,,,,,
,,,,,,,,
